CMDLINE c:\users\tombr\appdata\local\programs\python\python37-32\python.exe main.py
MEM 0.636719 1562145202.5046
MEM 13.312500 1562145202.6048
MEM 35.406250 1562145202.7055
MEM 41.964844 1562145202.8057
MEM 47.378906 1562145202.9059
MEM 50.097656 1562145203.0061
MEM 50.097656 1562145203.1063
MEM 50.097656 1562145203.2065
MEM 50.097656 1562145203.3067
MEM 50.097656 1562145203.4069
MEM 50.097656 1562145203.5071
MEM 50.097656 1562145203.6072
MEM 50.097656 1562145203.7077
MEM 50.097656 1562145203.8083
MEM 50.097656 1562145203.9089
MEM 50.097656 1562145204.0093
MEM 50.097656 1562145204.1097
MEM 50.097656 1562145204.2102
MEM 50.097656 1562145204.3107
MEM 50.097656 1562145204.4116
MEM 50.097656 1562145204.5118
MEM 50.097656 1562145204.6121
MEM 50.097656 1562145204.7123
MEM 50.097656 1562145204.8126
MEM 50.097656 1562145204.9131
MEM 50.222656 1562145205.0138
MEM 50.222656 1562145205.1142
MEM 50.222656 1562145205.2143
MEM 50.222656 1562145205.3144
MEM 50.222656 1562145205.4149
MEM 50.222656 1562145205.5152
MEM 50.554688 1562145205.6155
MEM 50.816406 1562145205.7157
MEM 50.816406 1562145205.8158
MEM 50.816406 1562145205.9160
MEM 50.820312 1562145206.0162
MEM 50.820312 1562145206.1169
MEM 50.820312 1562145206.2171
MEM 50.820312 1562145206.3173
MEM 50.820312 1562145206.4175
MEM 50.820312 1562145206.5177
MEM 50.820312 1562145206.6179
MEM 50.820312 1562145206.7181
MEM 50.820312 1562145206.8183
MEM 50.820312 1562145206.9185
MEM 50.906250 1562145207.0186
MEM 50.906250 1562145207.1188
MEM 50.906250 1562145207.2190
MEM 50.906250 1562145207.3192
MEM 50.906250 1562145207.4194
MEM 50.906250 1562145207.5196
MEM 50.906250 1562145207.6198
MEM 50.906250 1562145207.7200
MEM 50.906250 1562145207.8202
MEM 50.906250 1562145207.9204
MEM 50.906250 1562145208.0206
MEM 50.906250 1562145208.1208
MEM 51.019531 1562145208.2209
MEM 51.035156 1562145208.3211
MEM 51.035156 1562145208.4213
MEM 51.035156 1562145208.5215
MEM 51.035156 1562145208.6217
MEM 51.035156 1562145208.7219
MEM 51.035156 1562145208.8221
MEM 51.035156 1562145208.9223
MEM 51.035156 1562145209.0225
MEM 51.035156 1562145209.1227
MEM 51.035156 1562145209.2229
MEM 51.035156 1562145209.3230
MEM 51.035156 1562145209.4232
MEM 51.132812 1562145209.5239
MEM 51.132812 1562145209.6246
MEM 51.132812 1562145209.7248
MEM 51.132812 1562145209.8250
MEM 51.132812 1562145209.9252
MEM 51.132812 1562145210.0254
MEM 51.132812 1562145210.1256
MEM 51.132812 1562145210.2258
MEM 51.132812 1562145210.3259
MEM 51.132812 1562145210.4262
MEM 51.132812 1562145210.5264
MEM 51.132812 1562145210.6265
MEM 51.132812 1562145210.7267
MEM 51.285156 1562145210.8269
MEM 51.285156 1562145210.9271
MEM 51.285156 1562145211.0273
MEM 51.285156 1562145211.1275
MEM 51.285156 1562145211.2282
MEM 51.285156 1562145211.3284
MEM 51.285156 1562145211.4285
MEM 51.285156 1562145211.5288
MEM 51.285156 1562145211.6290
MEM 51.285156 1562145211.7291
MEM 51.285156 1562145211.8293
MEM 51.285156 1562145211.9295
MEM 51.285156 1562145212.0297
MEM 51.390625 1562145212.1299
MEM 51.390625 1562145212.2301
MEM 51.390625 1562145212.3303
MEM 51.390625 1562145212.4305
MEM 51.390625 1562145212.5307
MEM 51.390625 1562145212.6309
MEM 51.390625 1562145212.7311
MEM 51.390625 1562145212.8313
MEM 51.390625 1562145212.9314
MEM 51.425781 1562145213.0321
MEM 51.425781 1562145213.1323
MEM 51.425781 1562145213.2325
MEM 51.425781 1562145213.3332
MEM 51.550781 1562145213.4334
MEM 51.550781 1562145213.5336
MEM 51.550781 1562145213.6339
