CMDLINE c:\users\tombr\appdata\local\programs\python\python37-32\python.exe main.py
MEM 0.601562 1562144876.2660
MEM 13.300781 1562144876.3664
MEM 35.429688 1562144876.4666
MEM 42.160156 1562144876.5668
MEM 47.406250 1562144876.6670
MEM 50.097656 1562144876.7673
MEM 50.097656 1562144876.8675
MEM 50.097656 1562144876.9678
MEM 50.097656 1562144877.0680
MEM 50.097656 1562144877.1685
MEM 50.097656 1562144877.2688
MEM 50.097656 1562144877.3694
MEM 50.097656 1562144877.4699
MEM 50.097656 1562144877.5707
MEM 50.097656 1562144877.6713
MEM 50.097656 1562144877.7716
MEM 50.097656 1562144877.8718
MEM 50.097656 1562144877.9718
MEM 50.097656 1562144878.0723
MEM 50.097656 1562144878.1725
MEM 50.097656 1562144878.2729
MEM 50.097656 1562144878.3735
MEM 50.097656 1562144878.4743
MEM 50.097656 1562144878.5746
MEM 50.097656 1562144878.6748
MEM 50.097656 1562144878.7753
MEM 50.097656 1562144878.8758
MEM 50.097656 1562144878.9763
MEM 50.097656 1562144879.0774
MEM 50.097656 1562144879.1780
MEM 50.097656 1562144879.2785
MEM 50.097656 1562144879.3791
MEM 50.097656 1562144879.4795
MEM 50.097656 1562144879.5798
MEM 50.097656 1562144879.6798
MEM 50.097656 1562144879.7802
MEM 50.097656 1562144879.8808
MEM 50.097656 1562144879.9813
MEM 50.097656 1562144880.0818
MEM 50.097656 1562144880.1824
MEM 50.097656 1562144880.2826
MEM 50.097656 1562144880.3833
MEM 50.160156 1562144880.4834
MEM 50.160156 1562144880.5844
MEM 50.160156 1562144880.6850
MEM 50.160156 1562144880.7854
MEM 50.160156 1562144880.8858
MEM 50.160156 1562144880.9858
MEM 50.160156 1562144881.0861
MEM 50.160156 1562144881.1865
MEM 50.160156 1562144881.2868
MEM 50.160156 1562144881.3874
MEM 50.160156 1562144881.4876
MEM 50.160156 1562144881.5879
MEM 50.160156 1562144881.6887
MEM 50.410156 1562144881.7891
MEM 50.410156 1562144881.8893
MEM 50.410156 1562144881.9894
MEM 50.410156 1562144882.0896
MEM 50.410156 1562144882.1898
MEM 50.410156 1562144882.2900
MEM 50.410156 1562144882.3902
MEM 50.472656 1562144882.4904
MEM 50.472656 1562144882.5906
MEM 50.472656 1562144882.6913
MEM 50.472656 1562144882.7914
MEM 50.472656 1562144882.8921
MEM 50.472656 1562144882.9923
MEM 50.503906 1562144883.0930
MEM 50.503906 1562144883.1937
MEM 50.503906 1562144883.2939
MEM 50.503906 1562144883.3946
MEM 50.503906 1562144883.4953
MEM 50.503906 1562144883.5955
MEM 50.503906 1562144883.6957
MEM 50.597656 1562144883.7959
MEM 50.597656 1562144883.8961
MEM 50.597656 1562144883.9963
MEM 50.597656 1562144884.0964
MEM 50.597656 1562144884.1966
MEM 50.597656 1562144884.2968
MEM 50.660156 1562144884.3975
MEM 50.660156 1562144884.4977
MEM 50.660156 1562144884.5979
MEM 50.660156 1562144884.6981
MEM 50.660156 1562144884.7983
MEM 50.660156 1562144884.8984
MEM 50.660156 1562144884.9989
MEM 50.660156 1562144885.0990
MEM 50.660156 1562144885.1992
MEM 50.660156 1562144885.2994
MEM 50.664062 1562144885.3997
MEM 50.664062 1562144885.4998
MEM 50.664062 1562144885.6000
MEM 50.726562 1562144885.7002
MEM 50.726562 1562144885.8004
MEM 50.726562 1562144885.9006
MEM 50.726562 1562144886.0008
MEM 50.726562 1562144886.1015
MEM 50.726562 1562144886.2016
MEM 50.726562 1562144886.3018
MEM 50.824219 1562144886.4020
MEM 50.824219 1562144886.5027
MEM 50.824219 1562144886.6029
MEM 50.824219 1562144886.7031
MEM 50.824219 1562144886.8033
MEM 50.824219 1562144886.9035
MEM 50.917969 1562144887.0037
MEM 50.917969 1562144887.1044
MEM 50.917969 1562144887.2046
MEM 50.917969 1562144887.3047
MEM 50.917969 1562144887.4049
MEM 50.917969 1562144887.5056
MEM 50.917969 1562144887.6058
MEM 50.980469 1562144887.7060
MEM 50.980469 1562144887.8062
MEM 50.980469 1562144887.9069
