CMDLINE c:\users\tombr\appdata\local\programs\python\python37-32\python.exe main.py
MEM 0.660156 1562144770.4057
MEM 13.281250 1562144770.5060
MEM 34.968750 1562144770.6062
MEM 41.855469 1562144770.7064
MEM 46.343750 1562144770.8071
MEM 50.171875 1562144770.9076
MEM 50.171875 1562144771.0079
MEM 50.171875 1562144771.1082
MEM 50.171875 1562144771.2086
MEM 50.171875 1562144771.3090
MEM 50.171875 1562144771.4091
MEM 50.171875 1562144771.5096
MEM 50.171875 1562144771.6099
MEM 50.171875 1562144771.7102
MEM 50.171875 1562144771.8104
MEM 50.171875 1562144771.9110
MEM 50.171875 1562144772.0120
MEM 50.171875 1562144772.1122
MEM 50.171875 1562144772.2129
MEM 50.171875 1562144772.3135
MEM 50.171875 1562144772.4140
MEM 50.171875 1562144772.5149
MEM 50.171875 1562144772.6152
MEM 50.171875 1562144772.7154
MEM 50.171875 1562144772.8158
MEM 50.171875 1562144772.9165
MEM 50.171875 1562144773.0168
MEM 50.171875 1562144773.1172
MEM 50.171875 1562144773.2174
MEM 50.171875 1562144773.3177
MEM 50.171875 1562144773.4179
MEM 50.171875 1562144773.5181
MEM 50.171875 1562144773.6184
MEM 50.171875 1562144773.7189
MEM 50.171875 1562144773.8192
MEM 50.171875 1562144773.9197
MEM 50.171875 1562144774.0198
MEM 50.171875 1562144774.1206
MEM 50.171875 1562144774.2207
MEM 50.171875 1562144774.3211
MEM 50.171875 1562144774.4214
MEM 50.171875 1562144774.5218
MEM 50.171875 1562144774.6222
MEM 50.171875 1562144774.7230
MEM 50.171875 1562144774.8235
MEM 50.171875 1562144774.9240
MEM 50.171875 1562144775.0241
MEM 50.171875 1562144775.1250
MEM 50.171875 1562144775.2253
MEM 50.171875 1562144775.3260
MEM 50.171875 1562144775.4261
MEM 50.171875 1562144775.5262
MEM 50.171875 1562144775.6272
MEM 50.171875 1562144775.7279
MEM 50.171875 1562144775.8283
MEM 50.171875 1562144775.9287
MEM 50.171875 1562144776.0290
MEM 50.171875 1562144776.1296
MEM 50.171875 1562144776.2296
MEM 50.171875 1562144776.3298
MEM 50.234375 1562144776.4300
MEM 50.234375 1562144776.5302
MEM 50.234375 1562144776.6304
MEM 50.234375 1562144776.7306
MEM 50.234375 1562144776.8307
MEM 50.234375 1562144776.9314
MEM 50.234375 1562144777.0316
MEM 50.234375 1562144777.1318
MEM 50.234375 1562144777.2325
MEM 50.234375 1562144777.3327
MEM 50.234375 1562144777.4334
MEM 50.234375 1562144777.5341
MEM 50.234375 1562144777.6343
MEM 50.234375 1562144777.7345
MEM 50.234375 1562144777.8347
MEM 52.605469 1562144777.9349
MEM 57.136719 1562144778.0354
MEM 61.113281 1562144778.1358
MEM 61.140625 1562144778.2364
MEM 61.140625 1562144778.3368
MEM 61.140625 1562144778.4371
MEM 61.140625 1562144778.5376
MEM 61.140625 1562144778.6387
MEM 61.140625 1562144778.7388
MEM 61.140625 1562144778.8393
MEM 61.140625 1562144778.9403
MEM 61.140625 1562144779.0413
MEM 61.140625 1562144779.1418
MEM 61.140625 1562144779.2428
MEM 61.207031 1562144779.3431
MEM 61.312500 1562144779.4438
MEM 61.312500 1562144779.5447
MEM 61.312500 1562144779.6448
MEM 61.312500 1562144779.7455
MEM 61.316406 1562144779.8464
MEM 61.316406 1562144779.9466
MEM 59.367188 1562144780.0469
MEM 62.351562 1562144780.1476
MEM 64.203125 1562144780.2478
MEM 64.207031 1562144780.3488
MEM 64.207031 1562144780.4495
MEM 64.207031 1562144780.5498
MEM 64.207031 1562144780.6501
MEM 64.207031 1562144780.7511
MEM 64.207031 1562144780.8511
MEM 64.207031 1562144780.9519
MEM 64.207031 1562144781.0522
MEM 62.851562 1562144781.1523
MEM 66.714844 1562144781.2530
MEM 67.054688 1562144781.3532
MEM 67.054688 1562144781.4534
MEM 67.054688 1562144781.5535
MEM 67.054688 1562144781.6538
MEM 67.054688 1562144781.7543
MEM 67.054688 1562144781.8545
MEM 67.054688 1562144781.9550
MEM 64.996094 1562144782.0552
